%time,field.data
1544089964895658767,0
1544089964996486597,0
1544089965095894559,0
1544089965195082920,0
1544089965295289594,0
1544089965395535486,0
1544089965495870725,0
1544089965594948473,0
1544089965695203153,0
1544089965795424560,0
1544089965895687545,0
1544089965995896868,0
1544089966095118626,0
1544089966195322694,0
1544089966295677642,0
1544089966395785817,0
1544089966494929738,0
1544089966595783753,0
1544089966695583713,0
1544089966795753037,0
1544089966894939666,0
1544089966995216045,0
1544089967095333988,0
1544089967195531418,0
1544089967295740496,0
1544089967396054435,0
1544089967495293031,0
1544089967596060399,0
1544089967695341528,0
1544089967795782990,0
1544089967895979457,0
1544089967995294183,0
1544089968095530494,0
1544089968195713783,0
1544089968295977596,400
1544089968395114182,400
1544089968495518177,400
1544089968595634441,400
1544089968695872477,400
1544089968795054609,400
1544089968895319333,400
1544089968995723247,400
1544089969095959228,400
1544089969195504736,400
1544089969295595561,393
1544089969395741090,393
1544089969495971054,393
1544089969596210381,393
1544089969696226779,393
1544089969795455928,393
1544089969895704121,393
1544089969995856537,393
1544089970095045324,393
1544089970195222168,393
1544089970295423395,400
1544089970395639326,400
1544089970496759811,400
1544089970595598619,400
1544089970695821443,400
1544089970795566772,400
1544089970895930465,400
1544089970995160238,400
1544089971095344431,400
1544089971195512033,400
1544089971295688015,406
1544089971395889697,406
1544089971495118312,406
1544089971595332916,406
1544089971695544535,406
1544089971795745833,406
1544089971895940041,406
1544089971995161146,406
1544089972095398405,406
1544089972194921482,406
1544089972295129084,400
1544089972395308355,400
1544089972495547525,400
1544089972595759169,400
1544089972695967304,400
1544089972795160575,400
1544089972895405534,400
1544089972995715510,400
1544089973095935392,400
1544089973195132971,400
1544089973295603192,406
1544089973395854487,406
1544089973494957598,406
1544089973595142746,406
1544089973695376148,406
1544089973795563530,406
1544089973895747844,406
1544089973995934017,406
1544089974095135244,406
1544089974195419741,406
1544089974295819230,400
1544089974395113785,400
1544089974495568913,400
1544089974595744876,400
1544089974696042356,400
1544089974795221576,400
1544089974895427570,400
1544089974995630889,400
1544089975095843223,400
1544089975195100410,400
1544089975295308016,393
1544089975395514780,393
1544089975495793497,393
1544089975595932509,393
1544089975695255239,393
1544089975795371521,393
1544089975895605445,393
1544089975995813007,393
1544089976094941106,393
1544089976195135405,393
1544089976295448533,400
1544089976395641844,400
1544089976495872292,400
1544089976595216911,400
1544089976695329370,400
1544089976795587145,400
1544089976895776508,400
1544089976994943559,400
1544089977095194548,400
1544089977195317472,400
1544089977295609035,400
1544089977395869963,400
1544089977495194448,400
1544089977597383951,400
1544089977695685370,400
1544089977795879754,400
1544089977895054761,400
1544089977995640493,400
1544089978095883538,400
1544089978196012733,400
1544089978295265227,393
1544089978395494348,393
1544089978495707689,393
1544089978595883987,393
1544089978695171457,393
1544089978795352741,393
1544089978895733452,393
1544089978996009364,393
1544089979095198232,393
1544089979195314386,393
1544089979295504586,400
1544089979395746504,400
1544089979496050807,400
1544089979595269921,400
1544089979695495975,400
1544089979795870609,400
1544089979895130352,400
1544089979995399782,400
1544089980095672937,400
1544089980195865659,400
1544089980295141671,406
1544089980395372045,406
1544089980495580753,406
1544089980595791307,406
1544089980694926965,406
1544089980795187437,406
1544089980895306003,406
1544089980995465838,406
1544089981095774509,406
1544089981196015401,406
1544089981295247882,400
1544089981395480894,400
1544089981495606982,400
1544089981595809226,400
1544089981695014440,400
1544089981795325289,400
1544089981895521539,400
1544089981995764917,400
1544089982094965070,400
1544089982195219361,400
1544089982295436892,406
1544089982395616489,406
1544089982495872558,406
1544089982594944676,406
1544089982695145264,406
1544089982795425970,406
1544089982895721535,406
1544089982995819123,406
1544089983095003713,406
1544089983195385509,406
1544089983295515614,400
1544089983397094417,400
1544089983495751439,400
1544089983595923570,400
1544089983695126394,400
1544089983795309972,400
1544089983895526383,400
1544089983995726567,400
1544089984095888871,400
1544089984195149112,400
1544089984295327498,393
1544089984395574972,393
1544089984495789125,393
1544089984594928625,393
1544089984695120500,393
1544089984795305972,393
1544089984895589514,393
1544089984995814219,393
1544089985094915786,393
1544089985195122950,393
1544089985295304887,400
1544089985395691347,400
1544089985495944747,400
1544089985595149711,400
1544089985695323376,400
1544089985795543042,400
1544089985895703141,400
1544089985995883276,400
1544089986095098393,400
1544089986195301511,400
1544089986295644599,400
1544089986395863380,400
1544089986495055147,400
1544089986595316102,400
1544089986695550963,400
1544089986795652215,400
1544089986895871275,400
1544089986995117079,400
1544089987095241455,400
1544089987195472994,400
1544089987295698103,393
1544089987395876968,393
1544089987495063560,393
1544089987595249454,393
1544089987695498722,393
1544089987795743895,393
1544089987896022040,393
1544089987995145714,393
1544089988095367669,393
1544089988196655989,393
1544089988295185853,400
1544089988395432520,400
1544089988494998118,400
1544089988595925606,400
1544089988695202339,400
1544089988795452081,400
1544089988895672536,400
1544089988995997766,400
1544089989095184375,400
1544089989195423737,400
1544089989295655161,406
1544089989396017562,406
1544089989495397527,406
1544089989595627565,406
1544089989696708546,406
1544089989795845260,406
1544089989895072586,406
1544089989995291048,406
1544089990095680129,406
1544089990195767966,406
1544089990295030106,400
1544089990395190135,400
1544089990495440160,400
1544089990595676820,400
1544089990695879362,400
1544089990795114659,400
1544089990895300122,400
1544089990995505954,400
